Subject,Item,timeReceipt,IbexItemNum,Block,WordNum,Word,EventTime,CondCode,Critical,Correct,QuestionText,QuestionCondition,ReadingTime,Sentence,Condition,Region,ReactionTime,Accuracy,precritRT
1,7,1637007368,42,1,6,Fleischwurst,1637005409773,153,6,K,Hat der Metzger die Fleischwurst gemietet?,manipulation,315,Dann mietete der Metzger die Fleischwurst und sofort begann er zu essen.,C,Critical,3982,1,507
1,7,1637007368,42,1,7,und,1637005409773,153,6,K,Hat der Metzger die Fleischwurst gemietet?,manipulation,295,Dann mietete der Metzger die Fleischwurst und sofort begann er zu essen.,C,Spillover,3982,1,507
1,7,1637007368,42,1,8,sofort,1637005409773,153,6,K,Hat der Metzger die Fleischwurst gemietet?,manipulation,302,Dann mietete der Metzger die Fleischwurst und sofort begann er zu essen.,C,Post-spillover,3982,1,507
1,8,1637007368,91,3,4,Tierliebhaber,1637006673217,151,6,"","","",151,Dann bedrohte der Tierliebhaber den Kutscher und darüber hinaus forderte er ihn auf%2C den Gaul in Ruhe zu lassen.,A,Pre-critical_2,,,253
1,8,1637007368,91,3,5,den,1637006673217,151,6,"","","",253,Dann bedrohte der Tierliebhaber den Kutscher und darüber hinaus forderte er ihn auf%2C den Gaul in Ruhe zu lassen.,A,Pre-critical,,,253
1,8,1637007368,91,3,6,Kutscher,1637006673217,151,6,"","","",235,Dann bedrohte der Tierliebhaber den Kutscher und darüber hinaus forderte er ihn auf%2C den Gaul in Ruhe zu lassen.,A,Critical,,,253
1,8,1637007368,91,3,7,und,1637006673217,151,6,"","","",303,Dann bedrohte der Tierliebhaber den Kutscher und darüber hinaus forderte er ihn auf%2C den Gaul in Ruhe zu lassen.,A,Spillover,,,253
1,8,1637007368,91,3,8,darüber,1637006673217,151,6,"","","",223,Dann bedrohte der Tierliebhaber den Kutscher und darüber hinaus forderte er ihn auf%2C den Gaul in Ruhe zu lassen.,A,Post-spillover,,,253
1,9,1637007368,24,1,4,Kapitän,1637005005426,152,6,K,Hat der Kapitän dem Pärchen geholfen?,continuation,424,Dann rettete der Kapitän das Segelboot und sofort half er dem Pärchen.,B,Pre-critical_2,5707,1,305
1,9,1637007368,24,1,5,das,1637005005426,152,6,K,Hat der Kapitän dem Pärchen geholfen?,continuation,305,Dann rettete der Kapitän das Segelboot und sofort half er dem Pärchen.,B,Pre-critical,5707,1,305
1,9,1637007368,24,1,6,Segelboot,1637005005426,152,6,K,Hat der Kapitän dem Pärchen geholfen?,continuation,345,Dann rettete der Kapitän das Segelboot und sofort half er dem Pärchen.,B,Critical,5707,1,305
1,9,1637007368,24,1,7,und,1637005005426,152,6,K,Hat der Kapitän dem Pärchen geholfen?,continuation,384,Dann rettete der Kapitän das Segelboot und sofort half er dem Pärchen.,B,Spillover,5707,1,305
1,9,1637007368,24,1,8,sofort,1637005005426,152,6,K,Hat der Kapitän dem Pärchen geholfen?,continuation,325,Dann rettete der Kapitän das Segelboot und sofort half er dem Pärchen.,B,Post-spillover,5707,1,305
1,10,1637007368,22,1,4,Hausfrau,1637004960643,153,6,"","","",315,Daraufhin knickte die Hausfrau den Handwerker und noch lange ärgerte sie sich über die Mängel moderner Geräte.,C,Pre-critical_2,,,406
1,10,1637007368,22,1,5,den,1637004960643,153,6,"","","",406,Daraufhin knickte die Hausfrau den Handwerker und noch lange ärgerte sie sich über die Mängel moderner Geräte.,C,Pre-critical,,,406
1,10,1637007368,22,1,6,Handwerker,1637004960643,153,6,"","","",324,Daraufhin knickte die Hausfrau den Handwerker und noch lange ärgerte sie sich über die Mängel moderner Geräte.,C,Critical,,,406
1,10,1637007368,22,1,7,und,1637004960643,153,6,"","","",355,Daraufhin knickte die Hausfrau den Handwerker und noch lange ärgerte sie sich über die Mängel moderner Geräte.,C,Spillover,,,406
1,10,1637007368,22,1,8,noch,1637004960643,153,6,"","","",365,Daraufhin knickte die Hausfrau den Handwerker und noch lange ärgerte sie sich über die Mängel moderner Geräte.,C,Post-spillover,,,406
1,11,1637007368,62,2,6,Urlauber,1637005945326,151,8,K,Hat der Flyer zusätzliche Informationen enthalten?,paragraph,252,Nach der Führung faltete der Urlauber den Flyer und dann machte er sich auf den Weg zu seinem Hotel.,A,Pre-critical_2,3828,1,284
1,11,1637007368,62,2,7,den,1637005945326,151,8,K,Hat der Flyer zusätzliche Informationen enthalten?,paragraph,284,Nach der Führung faltete der Urlauber den Flyer und dann machte er sich auf den Weg zu seinem Hotel.,A,Pre-critical,3828,1,284
1,11,1637007368,62,2,8,Flyer,1637005945326,151,8,K,Hat der Flyer zusätzliche Informationen enthalten?,paragraph,273,Nach der Führung faltete der Urlauber den Flyer und dann machte er sich auf den Weg zu seinem Hotel.,A,Critical,3828,1,284
1,11,1637007368,62,2,9,und,1637005945326,151,8,K,Hat der Flyer zusätzliche Informationen enthalten?,paragraph,245,Nach der Führung faltete der Urlauber den Flyer und dann machte er sich auf den Weg zu seinem Hotel.,A,Spillover,3828,1,284
1,11,1637007368,62,2,10,dann,1637005945326,151,8,K,Hat der Flyer zusätzliche Informationen enthalten?,paragraph,304,Nach der Führung faltete der Urlauber den Flyer und dann machte er sich auf den Weg zu seinem Hotel.,A,Post-spillover,3828,1,284
1,12,1637007368,114,3,4,Paparazzi,1637007157247,152,6,"","","",161,Daraufhin schulterte der Paparazzi die Schauspielerin und ferner sagte er%2C dass er sich so nicht behandeln lasse.,B,Pre-critical_2,,,181
1,12,1637007368,114,3,5,die,1637007157247,152,6,"","","",181,Daraufhin schulterte der Paparazzi die Schauspielerin und ferner sagte er%2C dass er sich so nicht behandeln lasse.,B,Pre-critical,,,181
1,12,1637007368,114,3,6,Schauspielerin,1637007157247,152,6,"","","",184,Daraufhin schulterte der Paparazzi die Schauspielerin und ferner sagte er%2C dass er sich so nicht behandeln lasse.,B,Critical,,,181
1,12,1637007368,114,3,7,und,1637007157247,152,6,"","","",223,Daraufhin schulterte der Paparazzi die Schauspielerin und ferner sagte er%2C dass er sich so nicht behandeln lasse.,B,Spillover,,,181
1,12,1637007368,114,3,8,ferner,1637007157247,152,6,"","","",284,Daraufhin schulterte der Paparazzi die Schauspielerin und ferner sagte er%2C dass er sich so nicht behandeln lasse.,B,Post-spillover,,,181
1,13,1637007368,70,2,4,Schneider,1637006125440,151,6,K,Hat dem Schneider der Platz am Eingang gefallen?,continuation,427,Daraufhin lobte der Schneider die Assistentin und dann sagte er%2C dass der Platz am Eingang eine gute Idee war.,A,Pre-critical_2,2490,1,232
1,13,1637007368,70,2,5,die,1637006125440,151,6,K,Hat dem Schneider der Platz am Eingang gefallen?,continuation,232,Daraufhin lobte der Schneider die Assistentin und dann sagte er%2C dass der Platz am Eingang eine gute Idee war.,A,Pre-critical,2490,1,232
1,13,1637007368,70,2,6,Assistentin,1637006125440,151,6,K,Hat dem Schneider der Platz am Eingang gefallen?,continuation,283,Daraufhin lobte der Schneider die Assistentin und dann sagte er%2C dass der Platz am Eingang eine gute Idee war.,A,Critical,2490,1,232
1,13,1637007368,70,2,7,und,1637006125440,151,6,K,Hat dem Schneider der Platz am Eingang gefallen?,continuation,273,Daraufhin lobte der Schneider die Assistentin und dann sagte er%2C dass der Platz am Eingang eine gute Idee war.,A,Spillover,2490,1,232
1,13,1637007368,70,2,8,dann,1637006125440,151,6,K,Hat dem Schneider der Platz am Eingang gefallen?,continuation,325,Daraufhin lobte der Schneider die Assistentin und dann sagte er%2C dass der Platz am Eingang eine gute Idee war.,A,Post-spillover,2490,1,232
1,14,1637007368,100,3,4,Mädchen,1637006891215,152,6,"","","",222,Danach bewertete das Mädchen den Schwimmer und nach einer Weile verriet es ihm seine Handynummer.,B,Pre-critical_2,,,214
1,14,1637007368,100,3,5,den,1637006891215,152,6,"","","",214,Danach bewertete das Mädchen den Schwimmer und nach einer Weile verriet es ihm seine Handynummer.,B,Pre-critical,,,214
1,14,1637007368,100,3,6,Schwimmer,1637006891215,152,6,"","","",222,Danach bewertete das Mädchen den Schwimmer und nach einer Weile verriet es ihm seine Handynummer.,B,Critical,,,214
1,14,1637007368,100,3,7,und,1637006891215,152,6,"","","",446,Danach bewertete das Mädchen den Schwimmer und nach einer Weile verriet es ihm seine Handynummer.,B,Spillover,,,214
1,14,1637007368,100,3,8,nach,1637006891215,152,6,"","","",252,Danach bewertete das Mädchen den Schwimmer und nach einer Weile verriet es ihm seine Handynummer.,B,Post-spillover,,,214
1,15,1637007368,94,3,4,Chefarzt,1637006735953,151,6,K,War die Sekretärin erleichtert über die Diktiermaschine?,paragraph,212,Dann verabschiedete der Chefarzt die Sekretärin und dann machte er Feierabend.,A,Pre-critical_2,3178,1,295
1,15,1637007368,94,3,5,die,1637006735953,151,6,K,War die Sekretärin erleichtert über die Diktiermaschine?,paragraph,295,Dann verabschiedete der Chefarzt die Sekretärin und dann machte er Feierabend.,A,Pre-critical,3178,1,295
1,15,1637007368,94,3,6,Sekretärin,1637006735953,151,6,K,War die Sekretärin erleichtert über die Diktiermaschine?,paragraph,526,Dann verabschiedete der Chefarzt die Sekretärin und dann machte er Feierabend.,A,Critical,3178,1,295
1,15,1637007368,94,3,7,und,1637006735953,151,6,K,War die Sekretärin erleichtert über die Diktiermaschine?,paragraph,212,Dann verabschiedete der Chefarzt die Sekretärin und dann machte er Feierabend.,A,Spillover,3178,1,295
1,15,1637007368,94,3,8,dann,1637006735953,151,6,K,War die Sekretärin erleichtert über die Diktiermaschine?,paragraph,234,Dann verabschiedete der Chefarzt die Sekretärin und dann machte er Feierabend.,A,Post-spillover,3178,1,295
1,16,1637007368,101,3,4,Reporterin,1637006912407,151,6,"","","",283,Daraufhin verabschiedete die Reporterin den Mitarbeiter und anschließend machte sie ein paar Fotos vom Bauernhof.,A,Pre-critical_2,,,275
1,16,1637007368,101,3,5,den,1637006912407,151,6,"","","",275,Daraufhin verabschiedete die Reporterin den Mitarbeiter und anschließend machte sie ein paar Fotos vom Bauernhof.,A,Pre-critical,,,275
1,16,1637007368,101,3,6,Mitarbeiter,1637006912407,151,6,"","","",262,Daraufhin verabschiedete die Reporterin den Mitarbeiter und anschließend machte sie ein paar Fotos vom Bauernhof.,A,Critical,,,275
1,16,1637007368,101,3,7,und,1637006912407,151,6,"","","",335,Daraufhin verabschiedete die Reporterin den Mitarbeiter und anschließend machte sie ein paar Fotos vom Bauernhof.,A,Spillover,,,275
1,16,1637007368,101,3,8,anschließend,1637006912407,151,6,"","","",273,Daraufhin verabschiedete die Reporterin den Mitarbeiter und anschließend machte sie ein paar Fotos vom Bauernhof.,A,Post-spillover,,,275
1,17,1637007368,89,3,4,Tochter,1637006640459,153,6,K,Hat die Tochter den Rasenmäher halbiert?,manipulation,233,Danach halbierte die Tochter den Rasenmäher und dann sagte sie begeistert%2C dass sie morgen wiederkommen würde.,C,Pre-critical_2,1729,1,232
1,17,1637007368,89,3,5,den,1637006640459,153,6,K,Hat die Tochter den Rasenmäher halbiert?,manipulation,232,Danach halbierte die Tochter den Rasenmäher und dann sagte sie begeistert%2C dass sie morgen wiederkommen würde.,C,Pre-critical,1729,1,232
1,17,1637007368,89,3,6,Rasenmäher,1637006640459,153,6,K,Hat die Tochter den Rasenmäher halbiert?,manipulation,264,Danach halbierte die Tochter den Rasenmäher und dann sagte sie begeistert%2C dass sie morgen wiederkommen würde.,C,Critical,1729,1,232
1,17,1637007368,89,3,7,und,1637006640459,153,6,K,Hat die Tochter den Rasenmäher halbiert?,manipulation,242,Danach halbierte die Tochter den Rasenmäher und dann sagte sie begeistert%2C dass sie morgen wiederkommen würde.,C,Spillover,1729,1,232
1,17,1637007368,89,3,8,dann,1637006640459,153,6,K,Hat die Tochter den Rasenmäher halbiert?,manipulation,215,Danach halbierte die Tochter den Rasenmäher und dann sagte sie begeistert%2C dass sie morgen wiederkommen würde.,C,Post-spillover,1729,1,232
1,18,1637007368,32,1,4,Dame,1637005194226,153,6,"","","",293,Entzückt würzte die Dame den Juwelier und danach bedankte sie sich für sein Fachwissen.,C,Pre-critical_2,,,325
1,18,1637007368,32,1,5,den,1637005194226,153,6,"","","",325,Entzückt würzte die Dame den Juwelier und danach bedankte sie sich für sein Fachwissen.,C,Pre-critical,,,325
1,18,1637007368,32,1,6,Juwelier,1637005194226,153,6,"","","",344,Entzückt würzte die Dame den Juwelier und danach bedankte sie sich für sein Fachwissen.,C,Critical,,,325
1,18,1637007368,32,1,7,und,1637005194226,153,6,"","","",324,Entzückt würzte die Dame den Juwelier und danach bedankte sie sich für sein Fachwissen.,C,Spillover,,,325
1,18,1637007368,32,1,8,danach,1637005194226,153,6,"","","",275,Entzückt würzte die Dame den Juwelier und danach bedankte sie sich für sein Fachwissen.,C,Post-spillover,,,325
1,19,1637007368,85,3,4,Nichte,1637006563179,152,6,K,Hat der Mechaniker den Schraubenzieher hinter dem Ohr der Nichte hervorgezogen?,paragraph,253,Verblüfft bewunderte die Nichte den Schraubenzieher und dann sagte sie%2C dass sie noch mehr Zaubertricks sehen wolle.,B,Pre-critical_2,3319,1,263
1,19,1637007368,85,3,5,den,1637006563179,152,6,K,Hat der Mechaniker den Schraubenzieher hinter dem Ohr der Nichte hervorgezogen?,paragraph,263,Verblüfft bewunderte die Nichte den Schraubenzieher und dann sagte sie%2C dass sie noch mehr Zaubertricks sehen wolle.,B,Pre-critical,3319,1,263
1,19,1637007368,85,3,6,Schraubenzieher,1637006563179,152,6,K,Hat der Mechaniker den Schraubenzieher hinter dem Ohr der Nichte hervorgezogen?,paragraph,263,Verblüfft bewunderte die Nichte den Schraubenzieher und dann sagte sie%2C dass sie noch mehr Zaubertricks sehen wolle.,B,Critical,3319,1,263
1,19,1637007368,85,3,7,und,1637006563179,152,6,K,Hat der Mechaniker den Schraubenzieher hinter dem Ohr der Nichte hervorgezogen?,paragraph,242,Verblüfft bewunderte die Nichte den Schraubenzieher und dann sagte sie%2C dass sie noch mehr Zaubertricks sehen wolle.,B,Spillover,3319,1,263
1,19,1637007368,85,3,8,dann,1637006563179,152,6,K,Hat der Mechaniker den Schraubenzieher hinter dem Ohr der Nichte hervorgezogen?,paragraph,214,Verblüfft bewunderte die Nichte den Schraubenzieher und dann sagte sie%2C dass sie noch mehr Zaubertricks sehen wolle.,B,Post-spillover,3319,1,263
1,20,1637007368,111,3,4,Mopedfahrer,1637007108623,153,6,"","","",202,Daraufhin sortierte der Mopedfahrer den Polizisten und außerdem entschuldigte er sich für den Unfall.,C,Pre-critical_2,,,234
1,20,1637007368,111,3,5,den,1637007108623,153,6,"","","",234,Daraufhin sortierte der Mopedfahrer den Polizisten und außerdem entschuldigte er sich für den Unfall.,C,Pre-critical,,,234
1,20,1637007368,111,3,6,Polizisten,1637007108623,153,6,"","","",192,Daraufhin sortierte der Mopedfahrer den Polizisten und außerdem entschuldigte er sich für den Unfall.,C,Critical,,,234
1,20,1637007368,111,3,7,und,1637007108623,153,6,"","","",222,Daraufhin sortierte der Mopedfahrer den Polizisten und außerdem entschuldigte er sich für den Unfall.,C,Spillover,,,234
1,20,1637007368,111,3,8,außerdem,1637007108623,153,6,"","","",204,Daraufhin sortierte der Mopedfahrer den Polizisten und außerdem entschuldigte er sich für den Unfall.,C,Post-spillover,,,234
1,21,1637007368,88,3,4,Freundin,1637006620473,153,6,K,Hat die Freundin den Segler verschraubt?,manipulation,213,Daraufhin verschraubte die Freundin den Segler und dann sagte sie%2C er solle etwas aufmerksamer sein.,C,Pre-critical_2,2166,1,285
1,21,1637007368,88,3,5,den,1637006620473,153,6,K,Hat die Freundin den Segler verschraubt?,manipulation,285,Daraufhin verschraubte die Freundin den Segler und dann sagte sie%2C er solle etwas aufmerksamer sein.,C,Pre-critical,2166,1,285
1,21,1637007368,88,3,6,Segler,1637006620473,153,6,K,Hat die Freundin den Segler verschraubt?,manipulation,273,Daraufhin verschraubte die Freundin den Segler und dann sagte sie%2C er solle etwas aufmerksamer sein.,C,Critical,2166,1,285
1,21,1637007368,88,3,7,und,1637006620473,153,6,K,Hat die Freundin den Segler verschraubt?,manipulation,263,Daraufhin verschraubte die Freundin den Segler und dann sagte sie%2C er solle etwas aufmerksamer sein.,C,Spillover,2166,1,285
1,21,1637007368,88,3,8,dann,1637006620473,153,6,K,Hat die Freundin den Segler verschraubt?,manipulation,303,Daraufhin verschraubte die Freundin den Segler und dann sagte sie%2C er solle etwas aufmerksamer sein.,C,Post-spillover,2166,1,285
1,22,1637007368,104,3,4,Piraten,1637006964606,153,6,"","","",273,Dann wechselten die Piraten die Einheimischen und danach segelten sie Richtung Heimat.,C,Pre-critical_2,,,226
1,22,1637007368,104,3,5,die,1637006964606,153,6,"","","",226,Dann wechselten die Piraten die Einheimischen und danach segelten sie Richtung Heimat.,C,Pre-critical,,,226
1,22,1637007368,104,3,6,Einheimischen,1637006964606,153,6,"","","",505,Dann wechselten die Piraten die Einheimischen und danach segelten sie Richtung Heimat.,C,Critical,,,226
1,22,1637007368,104,3,7,und,1637006964606,153,6,"","","",303,Dann wechselten die Piraten die Einheimischen und danach segelten sie Richtung Heimat.,C,Spillover,,,226
1,22,1637007368,104,3,8,danach,1637006964606,153,6,"","","",315,Dann wechselten die Piraten die Einheimischen und danach segelten sie Richtung Heimat.,C,Post-spillover,,,226
1,23,1637007368,112,3,4,Junge,1637007124401,152,6,K,Konnte der Junge sich für einen Apfel entscheiden?,continuation,171,Sofort zerschnitt der Junge den Korb und dann entschied er sich für einen großen roten Apfel.,B,Pre-critical_2,5296,1,326
1,23,1637007368,112,3,5,den,1637007124401,152,6,K,Konnte der Junge sich für einen Apfel entscheiden?,continuation,326,Sofort zerschnitt der Junge den Korb und dann entschied er sich für einen großen roten Apfel.,B,Pre-critical,5296,1,326
1,23,1637007368,112,3,6,Korb,1637007124401,152,6,K,Konnte der Junge sich für einen Apfel entscheiden?,continuation,181,Sofort zerschnitt der Junge den Korb und dann entschied er sich für einen großen roten Apfel.,B,Critical,5296,1,326
1,23,1637007368,112,3,7,und,1637007124401,152,6,K,Konnte der Junge sich für einen Apfel entscheiden?,continuation,304,Sofort zerschnitt der Junge den Korb und dann entschied er sich für einen großen roten Apfel.,B,Spillover,5296,1,326
1,23,1637007368,112,3,8,dann,1637007124401,152,6,K,Konnte der Junge sich für einen Apfel entscheiden?,continuation,252,Sofort zerschnitt der Junge den Korb und dann entschied er sich für einen großen roten Apfel.,B,Post-spillover,5296,1,326
1,24,1637007368,13,1,4,Juror,1637004669764,151,6,"","","",326,Danach beglückwünschte der Juror den Sportler und außerdem lobte er dessen Sohn in höchsten Tönen.,A,Pre-critical_2,,,345
1,24,1637007368,13,1,5,den,1637004669764,151,6,"","","",345,Danach beglückwünschte der Juror den Sportler und außerdem lobte er dessen Sohn in höchsten Tönen.,A,Pre-critical,,,345
1,24,1637007368,13,1,6,Sportler,1637004669764,151,6,"","","",376,Danach beglückwünschte der Juror den Sportler und außerdem lobte er dessen Sohn in höchsten Tönen.,A,Critical,,,345
1,24,1637007368,13,1,7,und,1637004669764,151,6,"","","",346,Danach beglückwünschte der Juror den Sportler und außerdem lobte er dessen Sohn in höchsten Tönen.,A,Spillover,,,345
1,24,1637007368,13,1,8,außerdem,1637004669764,151,6,"","","",346,Danach beglückwünschte der Juror den Sportler und außerdem lobte er dessen Sohn in höchsten Tönen.,A,Post-spillover,,,345
1,25,1637007368,117,3,4,Mann,1637007199518,152,6,D,Hat die Geschätfrau den Mann korrigiert?,manipulation,213,Daraufhin bestaunte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack.,B,Pre-critical_2,4546,1,180
1,25,1637007368,117,3,5,die,1637007199518,152,6,D,Hat die Geschätfrau den Mann korrigiert?,manipulation,180,Daraufhin bestaunte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack.,B,Pre-critical,4546,1,180
1,25,1637007368,117,3,6,Geschäftsfrau,1637007199518,152,6,D,Hat die Geschätfrau den Mann korrigiert?,manipulation,144,Daraufhin bestaunte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack.,B,Critical,4546,1,180
1,25,1637007368,117,3,7,und,1637007199518,152,6,D,Hat die Geschätfrau den Mann korrigiert?,manipulation,162,Daraufhin bestaunte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack.,B,Spillover,4546,1,180
1,25,1637007368,117,3,8,dann,1637007199518,152,6,D,Hat die Geschätfrau den Mann korrigiert?,manipulation,293,Daraufhin bestaunte der Mann die Geschäftsfrau und dann lobte er sie für ihren guten Geschmack.,B,Post-spillover,4546,1,180
1,26,1637007368,44,1,4,Rentner,1637005450506,151,6,"","","",233,Lachend holte der Rentner das Zelt und dann schenkte er es dem Kind.,A,Pre-critical_2,,,335
1,26,1637007368,44,1,5,das,1637005450506,151,6,"","","",335,Lachend holte der Rentner das Zelt und dann schenkte er es dem Kind.,A,Pre-critical,,,335
1,26,1637007368,44,1,6,Zelt,1637005450506,151,6,"","","",243,Lachend holte der Rentner das Zelt und dann schenkte er es dem Kind.,A,Critical,,,335
1,26,1637007368,44,1,7,und,1637005450506,151,6,"","","",262,Lachend holte der Rentner das Zelt und dann schenkte er es dem Kind.,A,Spillover,,,335
